Season,Team,GP,G,A,PIM,PPG,OTG
2005-2006,WSH,81,52,54,52,21,2
2006-2007,WSH,82,46,46,52,16,1
2007-2008,WSH,82,65,47,40,22,2
2008-2009,WSH,79,56,54,72,19,2
2009-2010,WSH,72,50,59,89,13,0
2010-2011,WSH,79,32,53,41,7,3
2011-2012,WSH,78,38,27,26,13,2
2012-2013,WSH,48,32,24,36,16,0
2013-2014,WSH,78,51,28,48,24,3
2014-2015,WSH,81,53,28,58,25,0
2015-2016,WSH,79,50,21,53,19,2
2016-2017,WSH,82,33,36,50,17,2
2017-2018,WSH,82,49,38,32,17,3
2018-2019,WSH,81,51,38,40,18,0
